LDist,Dist,LorR,Type
12,1,Left,Shoe
14,5,Left,Shoe
44,3,Left,Shoe
12,3,Left,Shoe
11,1,Left,Shoe
12,1,Right,Shoe
36,1,Right,Shoe
12,2,Left,Shoe
16,10,Left,Shoe
11,1,Left,Shoe
11,1,Left,Shoe
17,5,Left,Shoe
26,2,Right,Shoe
8,2,Left,Shoe
16,5,Left,Shoe
16,8,Right,Shoe
26,3,Right,Shoe
11,2,Left,Shoe
11,2,Left,Shoe
13,1,Left,Shoe
12,1,Left,Shoe
12,1,Left,Shoe
10,2,Left,Shoe
36,1,Right,Shoe
12,1,Left,Shoe
12,0.5,Right,Shoe
19,8,Left,Shoe
27,3,Right,Shoe
27,5,Right,Shoe
29,11,Right,Shoe
37,6,Left,Shoe
10,1,Right,Shoe
30,10,Left,Shoe
12,1,Right,Shoe
19,10,Left,Shoe
27,3,Right,Shoe
27,6,Right,Shoe
12,1,Right,Shoe
26,3,Right,Shoe
27,5,Right,Shoe
12,1,Right,Shoe
20,12,Left,Shoe
26,7,Right,Shoe
27,2,Right,Shoe
20,6,Left,Shoe
27,2,Right,Shoe
27,4,Right,Shoe
12,1,Right,Shoe
19,4,Left,Shoe
27,2,Right,Shoe
36,4,Left,Shoe
12,1,Right,Shoe
19,6,Left,Shoe
27,1,Right,Shoe
27,3,Right,Shoe
12,1,Right,Shoe
22,4,Left,Shoe
26,2,Right,Shoe
28,12,Right,Shoe
38,9,Left,Shoe
12,1,Right,Shoe
20,10,Left,Shoe
26,5,Right,Shoe
26,6,Right,Shoe
28,20,Right,Shoe
37,10,Left,Shoe
12,1,Right,Shoe
21,5,Left,Shoe
26,2,Right,Shoe
26,3,Right,Shoe
12,1,Right,Shoe
20,10,Left,Shoe
26,3,Right,Shoe
26,2,Right,Shoe
38,5,Left,Shoe
12,1,Right,Shoe
26,5,Right,Shoe
26,3,Right,Shoe
38,10,Left,Shoe
12,1,Right,Shoe
20,5,Left,Shoe
37,5,Left,Shoe
12,1,Right,Shoe
19,10,Left,Shoe
27,5,Right,Shoe
27,7,Right,Shoe
37,20,Left,Shoe
12,12,Right,Shoe
26,3,Right,Shoe
38,25,Left,Shoe
12,0,Right,Shoe
18,4,Left,Shoe
25,1,Right,Shoe
26,2,Right,Shoe
38,4,Left,Shoe
12,1,Right,Shoe
19,6,Left,Shoe
27,2,Right,Shoe
27,4,Right,Shoe
39,7,Left,Shoe
12,1,Right,Shoe
21,8,Left,Shoe
24,7,Left,Shoe
27,2,Right,Shoe
27,4,Right,Shoe
29,12,Right,Shoe
38,9,Left,Shoe
12,1,Right,Shoe
20,5,Left,Shoe
27,2,Right,Shoe
27,3,Right,Shoe
29,8,Right,Shoe
38,5,Left,Shoe
12,1,Right,Shoe
20,7,Left,Shoe
27,2,Right,Shoe
27,3,Right,Shoe
12,1,Right,Shoe
20,12,Left,Shoe
26,2,Right,Shoe
26,3,Right,Shoe
28,20,Right,Shoe
37,7,Left,Shoe
12,1,Right,Shoe
20,13,Left,Shoe
24,13,Left,Shoe
26,7,Right,Shoe
26,3,Right,Shoe
39,10,Right,Shoe
49,7,Right,Shoe
12,1,Right,Shoe
19,15,Left,Shoe
26,5,Right,Shoe
26,7,Right,Shoe
28,20,Right,Shoe
35,15,Left,Shoe
12,1,Right,Shoe
20,9,Left,Shoe
26,6,Right,Shoe
26,2,Right,Shoe
38,8,Right,Shoe
7,1,Left,Shoe
20,5,Left,Shoe
26,3,Right,Shoe
26,2,Right,Shoe
38,7,Left,Shoe
12,1,Right,Shoe
20,9,Left,Shoe
27,3,Right,Shoe
29,15,Right,Shoe
12,1,Right,Shoe
20,5,Left,Shoe
27,1,Right,Shoe
27,2,Right,Shoe
38,5,Left,Shoe
12,1,Right,Shoe
20,7,Left,Shoe
27,2,Right,Shoe
37,5,Left,Shoe
12,1,Right,Shoe
20,8,Left,Shoe
26,2,Right,Shoe
26,3,Right,Shoe
28,17,Right,Shoe
12,1,Right,Shoe
20,8,Left,Shoe
26,2,Right,Shoe
26,4,Right,Shoe
12,2,Right,Shoe
12,1,Right,Shoe
12,1,Right,Shoe
20,4,Left,Shoe
26,2,Right,Shoe
26,3,Right,Shoe
37,4,Left,Shoe
12,1,Right,Shoe
19,2,Left,Shoe
24,4,Left,Shoe
26,1,Right,Shoe
26,2,Right,Shoe
38,3,Left,Shoe
20,5,Left,Shoe
26,2,Right,Shoe
12,1,Right,Shoe
21,4,Left,Shoe
27,3,Right,Shoe
27,4,Right,Shoe
12,1,Right,Shoe
20,8,Left,Shoe
