LDist,Dist,LorR,Type
5,4,Right,Bag
5,8,Left,Bag
14,12,Left,Bag
19,20,Left,Bag
41,16,Left,Bag
1,12,Left,Cloth
13,18,Right,Cloth
16,16,Right,Cloth
17,2,Right,Cloth
17,20,Left,Cloth
20,6,Left,Cloth
33,10,Right,Cloth
40,14,Right,Cloth
42,4,Left,Cloth
49,8,Right,Cloth
10,10,Left,Eyeglasses
25,18,Right,Eyeglasses
32,6,Left,Eyeglasses
34,2,Left,Eyeglasses
39,14,Right,Eyeglasses
9,2,Right,Shoe
9,4,Left,Shoe
10,14,Right,Shoe
14,10,Left,Shoe
21,18,Left,Shoe
32,16,Right,Shoe
35,6,Left,Shoe
35,20,Right,Shoe
42,8,Right,Shoe
47,12,Left,Shoe
